NAME,pickup_0,pickup_1,pickup_2,pickup_3,pickup_4,pickup_5,pickup_6,pickup_7,pickup_8,pickup_9,pickup_10,pickup_11,pickup_12,pickup_13,pickup_14,pickup_15,pickup_16,pickup_17,pickup_18,pickup_19,pickup_20,pickup_21,pickup_22,pickup_23
南澳,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大鹏,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
葵涌,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
石井,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
龙田,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
坪地,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
坑梓,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
龙岗,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
东湖,1,2,1,1,1,0,0,4,7,4,2,5,2,1,3,5,0,2,1,1,1,0,1,1
宝龙,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
龙城,1,1,0,1,0,0,0,2,3,0,0,2,1,0,1,1,0,0,0,0,2,1,1,0
坪山,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
马峦,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
沙头角,7,1,3,0,0,0,0,1,1,0,0,2,1,0,1,0,3,1,0,1,0,2,1,4
香蜜湖,12,11,9,7,7,6,7,6,12,7,14,12,17,14,16,10,14,11,11,13,16,20,10,18
观澜,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
南湾,7,5,8,1,3,2,3,10,3,2,5,5,6,5,3,1,2,5,7,6,4,13,6,7
海山,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,2,1,0,0,0,1,0
南湖,19,9,19,14,18,21,17,13,18,17,10,13,13,18,18,12,12,18,13,20,19,12,21,22
黄贝,11,9,6,3,2,3,7,2,9,6,13,5,11,8,6,16,7,7,6,9,6,9,16,14
